surface_id,surface,route_or_boundary,nav_or_entry,current_evidence,current_gap,release_state,required_closure
UI-01,Root entry,/,Direct/root role landing,"Current build; current desktop/mobile axe cell","Final SSO/role/deep-link precedence not rerun on target image",Conditional,"H2 target-image role and deep-link journey"
UI-02,Command Center,/command,Primary workflow nav,"Current unit suite; 12 sealed three-browser nodes; current desktop axe clean","Current 390px layout scan clips Governance/table controls; sealed browser run predates final commit",Blocked,"PD-02/PD-10 current no-retry browsers plus zero narrow-layout failures"
UI-03,Decisions / IC Book,/decisions,Primary workflow nav,"Current component tests; current route render; tracker direct evidence","No dedicated route E2E; current 390px IC Book nav target has a serious WCAG 2.2 target-size failure",Blocked,"Agenda-vote-finalize-reload/authz E2E and PD-10 target-size closure"
UI-04,Deep-Dive,/deepdive,Primary workflow nav,"Current unit suite; nine sealed three-browser nodes; LIVE/REFERENCE mode; current axe clean","E2E seal predates final commit; current spec changed after the seal; CP-0/CP-5B equivalent-service activation remains",Conditional,"Current no-retry browser journey plus C13 promise-to-runtime decision"
UI-05,Issuer Directory,/issuers,Primary workflow nav,"Current unit suite; bootstrap/upload browser coverage; current axe clean","No dedicated complete create-search-select-failure journey on final image",Conditional,"Dedicated target-image directory journey and failure recovery"
UI-06,Issuer Profile,/issuers/profile,Nested issuer entry,"Current unit suite and route matrix","No dedicated route-level profile/context/action browser journey",Blocked,"Identity-context-action-failure E2E"
UI-07,Model Builder,/model,Primary workflow nav,"Current 1,833-test frontend aggregate; 15 sealed three-browser nodes; current axe clean","Browser seal predates final commit; one current freshness unit test required configured retry",Blocked,"Current no-retry preview-commit-reload and unit stability rerun"
UI-08,Monitor,/monitor,Primary workflow nav,"Candidate-local persisted AlertEvent controller and watch-rule editor; real-local-API create/evaluate/event/acknowledge/reload/retry journey; zero-retry three-browser and desktop/mobile axe evidence","Default-off candidate is not immutable H0 or production activation; live PostgreSQL, real external scheduler/dispatcher, production flag observation, enterprise email transport and target-host proof remain open",Blocked,"Immutable-H0 production-data browser proof plus target activation package"
UI-09,Pipeline,/pipeline,Primary workflow nav,"Current unit suite; 12 sealed three-browser nodes; analyst-stage LIVE/REFERENCE composition","Browser seal predates final commit and target queue/fault behavior is not proved",Conditional,"Current browser journey plus L25 queue/fault run"
UI-10,Portfolio Lab,/portfolios,Primary workflow nav,"Current component suite and first-party visualization; current axe clean","No dedicated holdings-constraint-persistence-authz E2E",Blocked,"Dedicated route journey and target-data performance proof"
UI-11,Query,/query,Primary workflow nav,"Current unit suite; 12 sealed three-browser nodes; current axe clean","Browser seal predates final commit and provider/rate-limit degraded states need target proof",Conditional,"Current no-retry browser plus target fault states"
UI-12,Report Studio,/reports,Primary workflow nav,"Current unit suite; 12 sealed three-browser nodes; lightweight report visualization; current axe clean","Browser seal predates final commit; CP-RENDER/equivalent-service and live issuer publication remain deployment gates",Blocked,"Current publish/export/vault browser journey plus C13 decision"
UI-13,Deep Research,/research,Primary workflow nav,"Current unit suite; 18 sealed browser nodes across research specs; current axe clean","Browser seal predates final commit; provider egress approval and target fault behavior remain",Conditional,"Current no-retry browser plus approved egress/fault package"
UI-14,Sector Review,/sector,Primary workflow nav,"Current unit/server suite; six sealed three-browser nodes; current axe clean","Final source changed after seal; CP-SR runtime/equivalence remains",Blocked,"Current context-review-publish browser journey plus C13 decision"
UI-15,Sector RV,/sector-rv,Primary workflow nav,"Current component/server tests; API-backed workbench; current axe clean","No dedicated route E2E; licensed/current market data and entitlements are not activated",Blocked,"Import-snapshot-filter-drilldown E2E plus C5 activation package"
UI-16,Sponsors,/sponsors,Primary workflow nav,"Current component/server tests and route render","No dedicated aggregation-filter-handoff E2E; source changed after tracker seal",Blocked,"Dedicated current browser journey"
UI-17,Settings,/settings,Utility nav,"Current unit/server suite; 15 sealed three-browser nodes; outcome-oriented tabs","Current 390px Settings nav target has a serious WCAG 2.2 target-size failure; browser seal predates final commit",Blocked,"PD-10 target-size fix and current failed-save/role/alias journey"
UI-18,Upload,/upload,Primary workflow nav,"Current unit/server suite; 15 sealed three-browser nodes; AV protocol tests pass","Browser seal predates final commit; real target ClamAV/large-file/contention recovery not proved",Conditional,"Current browser plus target AV/upload contention lane"
SHELL-01,Global Ask and command palette,Root layout,Global hotkeys and shell,"Current unit suite; Ask context/shell split; lazy surface; current build","Final current-browser prefill/pin/navigation/focus proof not archived with candidate",Conditional,"L27 current three-browser shell journey"
SHELL-02,Navigation headings and skip links,Root layout,Global shell,"Current unit/contracts; current route matrix","Two nav target-size failures and two clipped narrow route cells",Blocked,"PD-10 zero-node/zero-layout matrix including coarse pointer and 200% zoom"
AUTH-01,Authentication and registration,Shell gate,Login landing/API,"12 sealed three-browser nodes; current server security suite","Sealed run predates final image/edge; SSO profile/session rotation not run on target",Conditional,"H1/H2 target edge and session lifecycle proof"
PLAT-01,FastAPI surface,/api/*,Same origin,"173 AST-inventoried method/alias handler rows; effective 2,601 passed and 15 skipped; candidate-local scoped watch-rule CRUD/manual evaluation plus compatible alert-event/state APIs; default-off routes are masked before quota or database work","Older GitNexus route count used different alias/current-tree semantics; C3 route proof is local and not bound to H0, production flag operation, live PostgreSQL or target authz/storage",Conditional,"Regenerate L23 on H0 and prove every route owner/authz/store plus controlled C3 flag activation"
PLAT-02,Executors and queues,Background,Run/research/report/autonomy workers,"Current server aggregate; 300-user Postgres/two-worker fix verification; candidate-local completed-run trigger and externally invoked one-shot scheduled claim/dispatch contracts; no in-process loop or startup hook","Heavy 15-principal run/upload/provider-fault target profile is not archived; no real external scheduler/dispatcher operation; C3 PostgreSQL locking remains offline-compiled/local-concurrency evidence",Conditional,"Operate the one-shot scheduler/dispatcher on the H0 target and archive live PostgreSQL plus L25 evidence"
PLAT-03,HTTP policy and DB pool,ASGI/Postgres,Server/deploy,"Raw ASGI HTTP policy; bounded 20+5 pool per worker; security/pool tests; 300-user verification","Exact image and target max_connections/headroom not proved",Conditional,"H1 target configuration and capacity evidence"
DATA-01,Postgres canonical store,DATABASE_URL,Server only,"Migrations and current persistence tests green; candidate-local additive migration 0066 rehearsal and persisted rule/evaluation/event-context/delivery-intent tests preserve legacy alert rows","No live PostgreSQL C3 migration or multi-worker locking proof; target TLS/least privilege/at-rest encryption/retention/legal-hold and H0 snapshot evidence are absent",Blocked,"Rehearse 0066 on H0/live PostgreSQL and complete PD-08 L26 control/recovery evidence"
DATA-02,Document vault,CAOS_STORAGE_DIR,Server only,"Upload/workbook guards; AV protocol; vault tests","Target volume encryption/access/paired backup/remote-only restore absent",Blocked,"PD-08 L22/L26 target evidence"
DATA-03,Browser transient state,localStorage/sessionStorage,Browser principal,"Principal-bound clearing and multiple persistence tests","Unsaved state is non-durable and not a vault record; managed-browser/retention policy incomplete",Blocked,"Classify every key and ensure authoritative work crosses server boundary"
DATA-04,Logs and notification records,Postgres plus operator logs,Server/operations,"Notification action-label migration and tests; structured access telemetry","Target log redaction/access/retention and notification migration rollout not evidenced",Conditional,"H0 migration rehearsal and L26 log custody policy"
OPS-01,Edge/auth ingress,Caddy + oauth2-proxy,External entry,"Fail-closed source configuration and current security tests","Target TLS/header stripping/secret/SSO evidence not tied to final image",Blocked,"H1 target edge package"
OPS-02,Backup and off-host recovery,backup + rclone,Operations,"Local paired backup/restore mechanism present","Fresh encrypted remote, stale/failure alert and remote-only recovery absent",Blocked,"PD-08 L22/L26 remote-only drill"
EXT-01,Market/email/model-provider seams,Enterprise connectors,Feature-specific,"Candidate-local C3 email render-intent boundary and explicit NOT SENT state; existing LIVE/REFERENCE/unavailable modes and guarded egress settings","No enterprise email transport/acceptance, production flag observation, external scheduler operation, target entitlement/DPA/residency or parallel-run evidence",Blocked,"H0/target C3 activation with operated scheduler/dispatcher, observed flag rollout and enterprise transport/failure package; C5/C13 remain open"
