id,concept,feature,story,expected,trigger,files,endpoint,status,test_result,severity,notes,edge_cases,test_cases,defect_count,last_tested
command-01,Command Center,Portfolio Posture Table - Issuer Selection,"As a buy-side analyst, I want to click a row in the portfolio table to see detailed metrics so that I can quickly assess issuer-level risk.","Clicking an issuer row toggles a detail strip at the bottom showing code, name, QA status, 3Y DM, margin, net leverage, interest coverage, M2E, posture. Row highlights. Clicking again closes.",Click issuer row in Portfolio Posture table,caos/frontend/src/components/command/views.tsx:85; caos/frontend/src/app/command/page.tsx:114,none (client-only),Pass,"Pass — route load 0 console errors; view toggles + live NL query (POST /api/query/nl 200, interpretation+ranked table) verified",,,steady-state only (static render),"happy: Click issuer row in Portfolio Posture table → expected behaviour [regression 2026-07-02: pytest 795/vitest 274/e2e 11/axe 0]; error: dependent data absent → explicit empty state; invalid: unexpected/corrupt local input → defaults, no crash; security: n/a (no server write) — page still behind RequireAuth; boundary/perf: no unbounded fan-out on render (lists finite); responsive: ≤sm viewport keeps layout usable (hidden xl/2xl adornments collapse)",0,2026-07-02
command-02,Command Center,Portfolio Posture Table - Watch Alert Indicator,"As a PM/CIO, I want to see which positions have active watch flags so that I can prioritize monitoring.","Red triangle indicator appears in issuer column for watch=true positions (NWCF, BLHP, QLMH). 3Y DM value for watched positions flashes with color based on tick. Unwatched show blank.",Route load; animation during live sim,caos/frontend/src/components/command/views.tsx:94; caos/frontend/src/lib/command/data.ts:26,none (client-only),Pass,"Pass — route load 0 console errors; view toggles + live NL query (POST /api/query/nl 200, interpretation+ranked table) verified",,,steady-state only (static render),"happy: Route load; animation during live sim → expected behaviour [regression 2026-07-02: pytest 795/vitest 274/e2e 11/axe 0]; error: dependent data absent → explicit empty state; invalid: unexpected/corrupt local input → defaults, no crash; security: n/a (no server write) — page still behind RequireAuth; boundary/perf: no unbounded fan-out on render (lists finite); responsive: ≤sm viewport keeps layout usable (hidden xl/2xl adornments collapse)",0,2026-07-02
command-03,Command Center,Portfolio Posture Table - Dynamic Sparkline,"As a buy-side analyst, I want a 30-day trend sparkline per position's 3Y DM so that I can assess momentum.","8-point sparkline renders in 30-Day column. Color: red if dd>5bps, green if dd<-2bps, grey otherwise.",Route load,caos/frontend/src/components/command/views.tsx:33; caos/frontend/src/lib/command/data.ts:27,none (client-only),Pass,"Pass — route load 0 console errors; view toggles + live NL query (POST /api/query/nl 200, interpretation+ranked table) verified",,,steady-state only (static render),"happy: Route load → expected behaviour [regression 2026-07-02: pytest 795/vitest 274/e2e 11/axe 0]; error: dependent data absent → explicit empty state; invalid: unexpected/corrupt local input → defaults, no crash; security: n/a (no server write) — page still behind RequireAuth; boundary/perf: no unbounded fan-out on render (lists finite); responsive: ≤sm viewport keeps layout usable (hidden xl/2xl adornments collapse)",0,2026-07-02
command-04,Command Center,Portfolio Posture Table - Conviction Meter,"As a PM/CIO, I want to see conviction levels visually so that I can weight analyst alignment.",1-5 bar chart in Conv. column using filled/unfilled squares; all 5 levels shown.,Route load,caos/frontend/src/components/command/views.tsx:111,none (client-only),Pass,"Pass — route load 0 console errors; view toggles + live NL query (POST /api/query/nl 200, interpretation+ranked table) verified",,,steady-state only (static render),"happy: Route load → expected behaviour [regression 2026-07-02: pytest 795/vitest 274/e2e 11/axe 0]; error: dependent data absent → explicit empty state; invalid: unexpected/corrupt local input → defaults, no crash; security: n/a (no server write) — page still behind RequireAuth; boundary/perf: no unbounded fan-out on render (lists finite); responsive: ≤sm viewport keeps layout usable (hidden xl/2xl adornments collapse)",0,2026-07-02
command-05,Command Center,Portfolio Posture Table - QA Status Tag,"As a Head of Research/QA, I want QA clearance status per position so that I know which names have unresolved findings.","Colored tag in QA column (conditional/clear/stale): critical red, warning orange, muted grey, or success green for clear.",Route load,caos/frontend/src/components/command/views.tsx:116,none (client-only),Pass,"Pass — route load 0 console errors; view toggles + live NL query (POST /api/query/nl 200, interpretation+ranked table) verified",,,"Colored tag in QA column (conditional/clear/stale): critical red, warning orange, muted grey, or success green for clear","happy: Route load → expected behaviour [regression 2026-07-02: pytest 795/vitest 274/e2e 11/axe 0]; error: dependent data absent → explicit empty state; invalid: unexpected/corrupt local input → defaults, no crash; security: n/a (no server write) — page still behind RequireAuth; boundary/perf: no unbounded fan-out on render (lists finite); responsive: ≤sm viewport keeps layout usable (hidden xl/2xl adornments collapse)",0,2026-07-02
command-06,Command Center,Portfolio Posture Table - Alert Count,"As a PM/CIO, I want to see which positions have open alerts so that I can respond to developing issues.","⚑ column shows open-alert count; warning orange if >0, idle grey else; dash if none.",Route load,caos/frontend/src/components/command/views.tsx:117,none (client-only),Pass,"Pass — route load 0 console errors; view toggles + live NL query (POST /api/query/nl 200, interpretation+ranked table) verified",,,steady-state only (static render),"happy: Route load → expected behaviour [regression 2026-07-02: pytest 795/vitest 274/e2e 11/axe 0]; error: dependent data absent → explicit empty state; invalid: unexpected/corrupt local input → defaults, no crash; security: n/a (no server write) — page still behind RequireAuth; boundary/perf: no unbounded fan-out on render (lists finite); responsive: ≤sm viewport keeps layout usable (hidden xl/2xl adornments collapse)",0,2026-07-02
command-07,Command Center,Issuer Detail Strip - Open & Close,"As a buy-side analyst, I want to pin a detailed issuer card at screen bottom so that I can keep reference data visible while scanning.","Clicking a row shows a 48px bottom strip with code, name, QA tag, key metrics. X button closes. Enters with animation.",Click issuer row,caos/frontend/src/components/command/views.tsx:411; caos/frontend/src/app/command/page.tsx:142,none (client-only),Pass,"Pass — route load 0 console errors; view toggles + live NL query (POST /api/query/nl 200, interpretation+ranked table) verified",,,steady-state only (static render),"happy: Click issuer row → expected behaviour [regression 2026-07-02: pytest 795/vitest 274/e2e 11/axe 0]; error: dependent data absent → explicit empty state; invalid: unexpected/corrupt local input → defaults, no crash; security: n/a (no server write) — page still behind RequireAuth; boundary/perf: no unbounded fan-out on render (lists finite); responsive: ≤sm viewport keeps layout usable (hidden xl/2xl adornments collapse)",0,2026-07-02
command-08,Command Center,Issuer Detail Strip - Deep Dive Link,"As a buy-side analyst, I want to navigate from Command Center to Deep Dive so that I can perform deeper review.","Strip shows ""OPEN DEEP-DIVE →"" (mocked for ATLF only) → /deepdive. Non-ATLF shows disabled ""deep-dive mocked for ATLF only"".",Click OPEN DEEP-DIVE for ATLF,caos/frontend/src/components/command/views.tsx:434,none (client-only),Pass,"Pass — route load 0 console errors; view toggles + live NL query (POST /api/query/nl 200, interpretation+ranked table) verified",,,steady-state only (static render),"happy: Click OPEN DEEP-DIVE for ATLF → expected behaviour [regression 2026-07-02: pytest 795/vitest 274/e2e 11/axe 0]; error: dependent data absent → explicit empty state; invalid: unexpected/corrupt local input → defaults, no crash; security: n/a (no server write) — page still behind RequireAuth; boundary/perf: no unbounded fan-out on render (lists finite); responsive: ≤sm viewport keeps layout usable (hidden xl/2xl adornments collapse)",0,2026-07-02
command-09,Command Center,Portfolio Posture Table - Column Tooltips,"As a user, I want to understand abbreviated column headers so that I don't need prior domain knowledge.","Hover/focus on column headers shows title tooltip (e.g. ""3Y DM"" → ""3-year discount margin (bps)"").",Hover/focus column header,caos/frontend/src/components/command/views.tsx:54,none (client-only),Pass,"Pass — route load 0 console errors; view toggles + live NL query (POST /api/query/nl 200, interpretation+ranked table) verified",,,steady-state only (static render),"happy: Hover/focus column header → expected behaviour [regression 2026-07-02: pytest 795/vitest 274/e2e 11/axe 0]; error: dependent data absent → explicit empty state; invalid: unexpected/corrupt local input → defaults, no crash; security: n/a (no server write) — page still behind RequireAuth; boundary/perf: no unbounded fan-out on render (lists finite); responsive: ≤sm viewport keeps layout usable (hidden xl/2xl adornments collapse)",0,2026-07-02
command-10,Command Center,Header KPI Strip - Portfolio Metrics,"As a PM/CIO, I want portfolio-level KPIs at a glance so that I can monitor sleeve health.","Header shows Sleeve NAV ($2.41B), Avg 3Y DM (+504bps), Names (10) as tabular stats; visible at ≥1536px.",Route load (responsive),caos/frontend/src/app/command/page.tsx:77,none (client-only),Pass,"Pass — route load 0 console errors; view toggles + live NL query (POST /api/query/nl 200, interpretation+ranked table) verified",,,steady-state only (static render),"happy: Route load (responsive) → expected behaviour [regression 2026-07-02: pytest 795/vitest 274/e2e 11/axe 0]; error: dependent data absent → explicit empty state; invalid: unexpected/corrupt local input → defaults, no crash; security: n/a (no server write) — page still behind RequireAuth; boundary/perf: no unbounded fan-out on render (lists finite); responsive: ≤sm viewport keeps layout usable (hidden xl/2xl adornments collapse)",0,2026-07-02
