surface_id,surface,route_or_boundary,nav_or_entry,current_evidence,error_boundary,release_state,required_closure
UI-01,Root entry,/,Direct/root redirect,"Build; axe desktop+mobile",Root,Conditional,"Retest role landing and explicit deep-link precedence on immutable RC"
UI-02,Command Center,/command,Primary nav,"Unit; axe; E2E partially red",Segment,Blocked,"Fix or re-specify Open top change handoff and rerun three browsers"
UI-03,Decisions / IC Book,/decisions,Primary nav,"Unit; build; axe; no dedicated route E2E",Root only,Blocked,"Add agenda-vote-finalize-reload and authz journey"
UI-04,Deep-Dive,/deepdive,Primary nav,"Unit; axe; three-pane/evidence E2E green",Segment,Conditional,"Close CP-0/CP-5B unavailable-state and QA issuer-scope disposition"
UI-05,Issuer Directory,/issuers,Primary nav,"Unit; axe; directory exercised by upload/bootstrap E2E",Root only,Conditional,"Add current tracker rows and dedicated create/search/select journey"
UI-06,Issuer Profile,/issuers/profile,Nested issuer entry,"Unit; build; axe; no dedicated route E2E",Root only,Blocked,"Add identity/context/profile-action journey"
UI-07,Model Builder,/model,Primary nav,"Unit; axe; E2E override persistence red in all browsers",Segment,Blocked,"Seed/fix Model v2 preview-commit-reload contract and rerun"
UI-08,Monitor,/monitor,Primary nav,"Unit; axe; sample email/replay E2E green",Root only,Blocked,"Close or explicitly label enterprise email/live-alert seam; prove failure recovery"
UI-09,Pipeline,/pipeline,Primary nav,"Unit; axe; live completed-run E2E green",Root only,Conditional,"Add autonomy-cycle persistence/failure journey and route recovery"
UI-10,Portfolio Lab,/portfolios,Primary nav,"Unit; build; axe; no dedicated route E2E",Root only,Blocked,"Add holdings/constraint/persistence/authz journey and tracker rows"
UI-11,Query,/query,Primary nav,"Unit; axe; investigation and handoff E2E green",Segment,Conditional,"Retest target-data degraded/rate-limit states on RC"
UI-12,Report Studio,/reports,Primary nav,"Unit; axe; edit/compose/evidence E2E green",Segment,Blocked,"Close CP-RENDER equivalent-service map and issuer-specific publish/export journey"
UI-13,Deep Research,/research,Primary nav,"Unit; axe; server run paths green; empty-state E2E red; one WebKit toggle flaky",Root only,Blocked,"Reconcile empty-state/toggle contract; rerun without retry; approve provider egress"
UI-14,Sector Review,/sector,Primary nav,"Unit; build; axe; no dedicated route E2E",Root only,Blocked,"Add persisted review/context journey and CP-SR runtime-equivalence decision"
UI-15,Sector RV,/sector-rv,Primary nav,"RVScreener unit tests; build; axe; no dedicated route E2E",Root only,Blocked,"Add import/snapshot/filter/drilldown journey and market activation contract"
UI-16,Sponsors,/sponsors,Primary nav,"Unit; build; axe; no dedicated route E2E",Root only,Blocked,"Add sponsor aggregation/filter/handoff journey and tracker rows"
UI-17,Settings,/settings,Utility nav,"Unit; axe; server/default persistence E2E green",Root only,Conditional,"Add role/tenancy/flag authority and failed-save recovery journey"
UI-18,Upload,/upload,Primary nav,"Unit; axe; wizard E2E green; AV server tests green",Root only,Conditional,"Run real ClamAV/large-file/contention lane on target and prove recovery"
AUTH-01,Authentication and registration,Shell gate,"Login landing / API","Server tests green; registration E2E red under recovery-word contract",Root only,Blocked,"Reconcile valid/invalid registration fixture and prove SSO/profile/session rotation"
PLAT-01,FastAPI surface,/api/*,Same origin,"137 routes mapped; effective 2412 server tests green",N/A,Conditional,"Route-to-owner/authz/rate-limit/storage parity in L23; target Postgres lane"
PLAT-02,Executors and queues,Background,"Run/research/report/pipeline workers","Server concurrency/lease tests; 15-user mixed load pass",N/A,Conditional,"L25 two-worker target heavy-job and fault-injection run"
DATA-01,Postgres canonical store,DATABASE_URL,Server only,"Migrations and persistence tests green",N/A,Blocked,"Target TLS/least privilege/encryption/retention and paired restore evidence"
DATA-02,Document vault,CAOS_STORAGE_DIR,Server only,"Upload/workbook guards and local vault tests green",N/A,Blocked,"Target volume encryption/access/backup and remote-only paired restore"
DATA-03,Browser transient state,localStorage/sessionStorage,Browser principal,"Principal-bound clearing tests; several unsaved-work-product paths",N/A,Blocked,"Classify every key; keep authority server-side; document loss/managed-browser policy"
OPS-01,Edge/auth ingress,Caddy + oauth2-proxy,External entry,"Fail-closed configuration and tests",N/A,Blocked,"Target secret/TLS/header stripping/SSO evidence on immutable RC"
OPS-02,Backup and off-host recovery,backup + rclone,Operations,"Scripts/local restore mechanism present",N/A,Blocked,"Encrypted fresh remote target; stale/failure alert; remote-only recovery after local loss"
EXT-01,Market/email/provider seams,Enterprise connectors,Feature-specific,"Manual market import and in-app notifications exist; external seams not activated",N/A,Blocked,"C3/C5 activation package; entitlement/DPA/residency and parallel-run evidence"
